{nodeName: SPACEBEE-4, nodeId: 43139}

mem%, time-cache, pow, len-data, len-low, len-med, len-hi, num-proc
mem%, time-cache, pow, len-data, len-low, len-med, len-hi, num-proc
[0.0, 60, 24460.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24430.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24400.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24370.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24340.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24310.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24280.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24250.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24220.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24190.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24160.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24130.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24100.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24070.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24040.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24010.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23980.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23950.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23920.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23890.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23860.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23830.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23800.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23770.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23740.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23710.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23680.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23650.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23620.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23590.0, 0, 0, 0, 0, 0, 0]
{nodeName: SPACEBEE-7, nodeId: 43816}

mem%, time-cache, pow, len-data, len-low, len-med, len-hi, num-proc
[0.0, 60, 24460.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24430.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24400.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24370.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24340.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24310.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24280.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24250.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24220.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24190.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24160.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24130.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24100.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24070.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24040.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24010.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23980.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23950.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23920.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23890.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23860.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23830.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23800.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23770.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23740.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23710.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23680.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23650.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23620.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23590.0, 0, 0, 0, 0, 0, 0]
{nodeName: SPACEBEE-5, nodeId: 43817}

mem%, time-cache, pow, len-data, len-low, len-med, len-hi, num-proc
[0.0, 60, 24460.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24430.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24400.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24370.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24340.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24310.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24280.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24250.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24220.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24190.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24160.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24130.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24100.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24070.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24040.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24010.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23980.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23950.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23920.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23890.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23860.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23830.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23800.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23770.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23740.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23710.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23680.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23650.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23620.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23590.0, 0, 0, 0, 0, 0, 0]
{nodeName: SPACEBEE-6, nodeId: 43818}

mem%, time-cache, pow, len-data, len-low, len-med, len-hi, num-proc
[0.0, 60, 24460.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24430.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24400.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24370.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24340.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24310.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24280.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24250.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24220.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24190.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24160.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24130.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24100.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24070.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24040.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24010.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23980.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23950.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23920.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23890.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23860.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23830.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23800.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23770.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23740.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23710.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23680.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23650.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23620.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23590.0, 0, 0, 0, 0, 0, 0]
{nodeName: SPACEBEE-21, nodeId: 46300}

mem%, time-cache, pow, len-data, len-low, len-med, len-hi, num-proc
[0.0, 60, 24460.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24430.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24400.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24370.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24340.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24310.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24280.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24250.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24220.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24190.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24160.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24130.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24100.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24070.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24040.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24010.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23980.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23950.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23920.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23890.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23860.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23830.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23800.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23770.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23740.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23710.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23680.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23650.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23620.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23590.0, 0, 0, 0, 0, 0, 0]
{nodeName: SPACEBEE-20, nodeId: 46301}

mem%, time-cache, pow, len-data, len-low, len-med, len-hi, num-proc
[0.0, 60, 24460.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24430.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24400.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24370.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24340.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24310.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24280.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24250.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24220.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24190.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24160.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24130.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24100.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24070.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24040.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24010.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23980.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23950.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23920.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23890.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23860.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23830.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23800.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23770.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23740.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23710.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23680.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23650.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23620.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23590.0, 0, 0, 0, 0, 0, 0]
{nodeName: SPACEBEE-15, nodeId: 46302}

mem%, time-cache, pow, len-data, len-low, len-med, len-hi, num-proc
[0.0, 60, 24460.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24430.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24400.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24370.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24340.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24310.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24280.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24250.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24220.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24190.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24160.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24130.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24100.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24070.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24040.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24010.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23980.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23950.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23920.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23890.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23860.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23830.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23800.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23770.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23740.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23710.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23680.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23650.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23620.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23590.0, 0, 0, 0, 0, 0, 0]
{nodeName: SPACEBEE-19, nodeId: 46303}

mem%, time-cache, pow, len-data, len-low, len-med, len-hi, num-proc
[0.0, 60, 24460.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24430.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24400.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24370.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24340.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24310.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24280.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24250.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24220.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24190.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24160.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24130.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24100.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24070.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24040.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24010.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23980.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23950.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23920.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23890.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23860.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23830.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23800.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23770.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23740.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23710.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23680.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23650.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23620.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23590.0, 0, 0, 0, 0, 0, 0]
{nodeName: SPACEBEE-18, nodeId: 46304}

mem%, time-cache, pow, len-data, len-low, len-med, len-hi, num-proc
[0.0, 60, 24460.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24430.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24400.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24370.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24340.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24310.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24280.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24250.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24220.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24190.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24160.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24130.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24100.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24070.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24040.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24010.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23980.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23950.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23920.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23890.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23860.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23830.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23800.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23770.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23740.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23710.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23680.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23650.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23620.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23590.0, 0, 0, 0, 0, 0, 0]
{nodeName: SPACEBEE-10, nodeId: 46305}

mem%, time-cache, pow, len-data, len-low, len-med, len-hi, num-proc
[0.0, 60, 24460.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24430.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24400.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24370.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24340.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24310.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24280.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24250.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24220.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24190.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24160.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24130.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24100.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24070.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24040.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24010.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23980.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23950.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23920.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23890.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23860.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23830.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23800.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23770.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23740.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23710.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23680.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23650.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23620.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23590.0, 0, 0, 0, 0, 0, 0]
{nodeName: SPACEBEE-17, nodeId: 46306}

mem%, time-cache, pow, len-data, len-low, len-med, len-hi, num-proc
[0.0, 60, 24460.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24430.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24400.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24370.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24340.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24310.0, 0, 0, 0, 0, 0, 0]
